# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object1     10.79094   -2.649     15.147   14.507   14.317   21.067   18.619   17.377   16.716   16.353  
  object2     11.01512   -2.64737   12.221   11.697   11.545   16.473   14.333   13.376   13.071   13.442  
  object3     10.85111   -2.52766   14.282   13.896   13.816   17.102   15.868   15.428   15.159   15.197  
  object4     11.12631   -2.51996   11.914   11.533   11.432   15.83    14.002   13.314   13.145   13.829  
  object5     9.01845    -1.13741   15.651   15.212   15.148   18.394   16.988   16.466   16.275   16.231  
  object6     9.69611    -1.00363   11.949   11.325   11.15    17.792   15.347   14.003   13.631   13.388  
  object7     10.92087   -0.57041   12.989   12.354   12.162   20.872   18.164   16.664   15.204   14.386  
  object8     8.95958    -0.529     15.807   15.369   15.442   19.13    17.607   16.984   16.736   16.606  
  object9     12.45721   -1.20344   13.63    13.259   13.186   16.57    15.138   14.624   14.431   14.352  
  object10    13.66067   -1.03942   13.553   12.924   12.744   18.96    16.465   15.366   14.906   14.624  
  object11    11.94527   -0.83763   12.675   12.131   12.095   16.629   14.933   13.959   13.84    13.582  
  object12    12.58047   -0.04454   16.446   15.929   15.413   20.785   18.91    17.958   17.63    17.451  
  object13    15.23623   -2.46796   15.491   14.848   14.493   20.426   18.069   16.972   16.521   16.231  
  object14    14.63172   -2.24361   15.2     14.825   14.634   18.274   16.921   16.384   16.166   16.038  
  object15    14.29585   -1.12645   14.015   13.747   13.674   16.127   15.157   14.87    14.755   14.752  
  object16    15.3891    -0.79817   14.503   14.054   13.947   18.526   16.736   15.988   15.702   15.548  
  object17    14.47442   -0.77631   10.748   10.541   10.467   15.087   12.169   11.833   11.769   11.979  
  object18    16.10509   -0.51158   12.642   12.285   12.233   15.835   15.258   13.568   13.383   13.85   
  object19    16.22271   -0.03327   13.268   13.033   13.014   15.493   14.653   14.093   14.102   14.049  
  object20    17.44404   -2.38309   15.002   14.759   14.582   17.258   16.153   15.829   15.721   15.704  
  object21    19.5773    -0.94543   13.724   13.111   12.949   19.249   16.892   15.744   15.213   14.906  
  object22    17.90005   -0.73335   14.796   14.465   14.397   17.34    16.232   15.842   15.691   15.656  
  object23    18.30079   -0.71081   14.589   14.188   14.134   16.889   15.784   15.406   15.281   15.244  
  object24    17.7017    -0.21218   999       999       999       999       999       999       999       999      
  object25    20.80287   -2.65741   12.816   12.326   12.2     16.608   14.997   14.294   14.429   13.86   
  object26    21.16121   -2.27249   13.538   12.922   12.719   21.062   18.529   17.045   15.678   14.946  
  object27    21.6057    -1.37899   13.967   13.681   13.567   16.713   15.464   15.015   14.861   14.799  
  object28    22.36443   -0.85879   12.363   12.169   12.135   15.178   13.67    13.144   13.082   13.642  
  object29    22.23717   -0.62179   15.432   14.813   14.547   20.168   18.138   17.087   16.655   16.401  
  object30    21.80626   -0.41655   16.394   16.567   15.173   18.959   17.787   17.369   17.204   17.143  
  object31    20.32947   -0.33049   14.072   13.365   13.254   19.367   16.798   15.554   15.035   14.695  
  object32    21.63396   -0.08726   15.019   14.304   14.263   20.301   18.089   16.947   16.471   16.132  
  object33    24.47702   -2.70269   12.705   12.255   12.191   16.176   16.084   13.733   13.573   13.67   
  object34    23.12739   -2.41771   15.322   14.743   14.612   19.535   17.494   16.647   16.291   16.139  
  object35    22.98463   -2.22537   16.277   15.739   15.797   20.717   18.861   18.039   17.75    17.616  
  object36    24.38855   -2.14018   10.909   10.581   10.525   14.405   14.272   12.091   11.942   12.588  
  object37    22.87554   -1.53743   13.053   12.48    12.336   18.194   15.839   14.766   14.988   14.142  
  object38    23.56616   -1.01129   14.861   14.276   14.085   19.436   17.366   16.361   16.003   15.829  
  object39    24.56119   -0.60574   12.893   12.368   12.21    17.405   15.44    14.575   14.207   14.006  
  object40    27.04425   -2.48203   16.128   15.727   15.564   18.766   17.619   17.165   16.989   16.846  
  object41    28.47111   -1.60464   13.608   13.106   13.018   17.106   15.418   14.802   14.557   14.423  
  object42    29.72361   -1.57571   15.658   15.119   15.004   19.409   17.695   17.01    16.745   16.606  
  object43    28.51473   -1.30178   13.594   13.348   13.323   15.229   14.46    14.045   14.414   14.098  
